PAMEKARTIMUR XI,PAMEKAR TIMUR XI
PAMEKAR TIM XI,PAMEKAR TIMUR XI
PACAR KELING,PACARKELING
PASAR NGOTHO,PASAR NGOTO
PASAR MERAK URAK,PASAR MERAKURAK
PASAR DESA SUMBERREJO,PASAR SUMBEREJO
PASAR BLAWURAN,PASAR BLAURAN
PASAR GENDHENG,PASAR GENDENG
PASAR JOBGKE,PASAR JONGKE
PSR MBARENG,PASAR BARENG
PASAR MODEREND,PASAR MODERN
PSR GEDEK,PASAR GEDEG
PERUJAKAN,PARUJAKAN
PADJAJARAN,PAJAJARAN
PLASA,PLAZA
PASAR REJONDANI,PASAR REJODANI
PLG BETUNG,PALEMBANG BETUNG
PEKOPEN BULAK,PEKO PEN BULAK
PANGGENTENAN,PEGANTENAN
PERUMAS RAYA,PERUMNAS RAYA
PASAR KLP,PASAR KELAPA
PASAR PANCA SARI,PASAR PANCASARI
PASAR KARANG AYU,PASAR KARANGAYU
PASAR KARANAG ANYAR,PASAR KARANG ANYAR
PASAR DSA SUDHA MERTA,PASAR SUDAMERTA
PASAR BANJARJO,PASAR BANJAREJO
PASAR BABATAN,PASAR BABADAN
PS TENGKI,PASAR TANGKI
PASAR SUDAMERTA,PASAR SUDAMERTA
PASAR SUMBERJO,PASAR SUMBEREJO
PASAR PUCANGKRO,PASAR PUCANGRO
PERAWANG SIAK,PELALAWAN SIAK
PONDOOK PINANG,PONDOK PINANG
PELABUAN II,PELABUHAN II
PANTUAN ANGGI,PATUAN ANGGI
PD ,PONDOK 
PD KELAPA,PONDOK KELAPA
PD CABE,PONDOK CABE
PD JAGUNG,PONDOK JAGUNG
PSR ,PASAR 
 PS , PASAR 
PASAR IMPRES,PASAR INPRES
PASAR IMPRESS,PASAR INPRES
PASAR INPRESS,PASAR INPRES
PASAR BELIMBING,PASAR BLIMBING
PASAR SROGO,PASAR SRAGO
PH H MUSTOFA,PHH MUSTOFA
PARAPATAN KONDANG,PRAPATAN KONDANG
PULAU RIBUNG,PULO RIBUNG
PRABU KIAN SANTANG,PRABU KIANSANTANG
PRABUKIAN SANTANG,PRABU KIANSANTANG
PRABUKIANSANTANG,PRABU KIANSANTANG
PRAPAT KM,PARAPAT KM
PRENDUEN,PRENDUAN
PENICAN,PANICAN
RAYA,
JUONO,JUWONO
RY , 
RPH ,RUMAH POTONG HEWAN 
R A KARTINI,RA KARTINI
R E MARTADINATA,RE MARTADINATA
R DENGKLOK,RENGASDENGKLOK
 R SANIM, RADEN SANIM
RAWA KALONG,RAWAKALONG
RANCABALI,RANCA BALI
RAJIMAN,RADJIMAN
RENGAS DENGKLOK,RENGASDENGKLOK
